"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores narrow to broadly fusiform, ends pointed, straight, one-septate, median to supramedian, no constriction at septum, several small to large guttules in each cell, appendages absent, (11-)12-16(-17) x 2-3 µm,","Plagiostoma aceris-palmati_520052","Ascospores","(11-)12-16(-17) x 2-3","12-16","2-3",NA,14,2.5
"Ascospores broadly ellipsoid to ellipsoid, ends rounded, straight, one-septate, median, slight constriction at septum, appendages absent, (13-)14-15(-16) x 5-6(-7) µm,","Plagiostoma mejianum_520053","Ascospores","(13-)14-15(-16) x 5-6(-7)","14-15","5-6",NA,14.5,5.5
"ascospores drying in reddish mass at neck tips, neck length (244-)315-673(-679) µm","Plagiostoma rubrosporum_520054","ascospores","(244-)315-673(-679)","315-673",NA,NA,494,494
"Ascospores broadly ellipsoid to ellipsoid, ends rounded, straight, one-septate, median to submedian, distinctly constricted at septum, appendages absent, (12-)13-16(-17) x 5-6 µm,","Plagiostoma rubrosporum_520054","Ascospores","(12-)13-16(-17) x 5-6","13-16","5-6",NA,14.5,5.5
"Ascospores fusiform, ends broadly rounded, three-septate, of nearly equal cells 7-9 um long, distinctly constricted at each septum, immature ascospores with 8 large guttules, mature ascospores lacking gutttules, (27-)29-37(-39) x 3-4 µm,","Plagiostoma triseptatum_520055","Ascospores","(27-)29-37(-39) x 3-4","29-37","3-4",NA,33,3.5
"ascospores with 8 large guttules, mature ascospores lacking gutttules, (27-)29-37(-39) x 3-4 µm,","Plagiostoma triseptatum_520055","ascospores","(27-)29-37(-39) x 3-4","29-37","3-4",NA,33,3.5
"ascospores lacking gutttules, (27-)29-37(-39) x 3-4 µm,","Plagiostoma triseptatum_520055","ascospores","(27-)29-37(-39) x 3-4","29-37","3-4",NA,33,3.5
"Ascospores narrowly fusiform, ends rounded to pointed, straight, one-septate, mediain, slightly to not constricted at septum, several small guttules in each cell, appendages absent, (10-)11-13(-14) x 2-3 µm,","Plagiostoma tsukubense_520056","Ascospores","(10-)11-13(-14) x 2-3","11-13","2-3",NA,12,2.5
"ascospores oblong, conglobate, uniseptate, slightly constricted at the septum, 16.8-19.2 x 4.8-7.2 µm,","Schiffnerula dioscoriae_520066","ascospores","16.8-19.2 x 4.8-7.2","16.8-19.2","4.8-7.2",NA,18,6
"Ascospores (10-)13-17 x (7-)8-11(-12) µm.
Chemistry-Thallus","Nipponoparmelia perplicata_520086","Ascospores","(10-)13-17 x (7-)8-11(-12)","13-17","8-11",NA,15,9.5
"Ascospores (20-)22.5-27(-29) x (4.5-)5-5.5(-6) µm","Isalonactis madagascariensis_520104","Ascospores","(20-)22.5-27(-29) x (4.5-)5-5.5(-6)","22.5-27","5-5.5",NA,24.75,5.25
"Ascospores allantoid, hialyne, 5-6 x 1-1.5 µm.
Conidiomata","Eutypa microasca_520117","Ascospores","5-6 x 1-1.5","5-6","1-1.5",NA,5.5,1.25
"ascospores (41-63 x 4.5-6 µm)","Xenonectriella septemseptata_520119","ascospores","(41-63 x 4.5-6","41-63","4.5-6",NA,52,5.25
"Ascospores allantoid, brownish, 7-9 x 1.8-2.2 µm.","Diatrype aceris-rubri_520132","Ascospores","7-9 x 1.8-2.2","7-9","1.8-2.2",NA,8,2
"Ascospores brown to dark brown, unicellular, ellipsoid-inaequilateral, 9-11(12.5) x 2-2.5 µm,","Hypoxylon virginianum_520133","Ascospores","9-11(12.5) x 2-2.5","9-11","2-2.5",NA,10,2.25
"Ascospores fusiform, with rounded ends, brown, 9-12.5(15) x 3-3.5 µm.","Lopadostoma cryptosphaeroides_520134","Ascospores","9-12.5(15) x 3-3.5","9-12.5","3-3.5",NA,10.75,3.25
"Ascospores unicellular, ellipsoidal to oblong, 12-14 x 4.5-5.5(6) µm,","Xylomelasma moderata_520136","Ascospores","12-14 x 4.5-5.5(6)","12-14","4.5-5.5",NA,13,5
"ascospores with obtuse ends, medially constricted, not septate, 8.5-11(-12) x 4-5 µm;","Fuscidea tropica_520154","ascospores","8.5-11(-12) x 4-5","8.5-11","4-5",NA,9.75,4.5
"Ascospores Buellia-type, (12.0-)13.9-17.0(-19.0) x (6.0-)7.2-8.7(-10.0) µm,","Dimelaena subsquamulosa_520174","Ascospores","(12.0-)13.9-17.0(-19.0) x (6.0-)7.2-8.7(-10.0)","13.9-17.0","7.2-8.7",NA,15.45,7.95
"ascospores of (19.0-)21.0-27.2(-29.0) x (8.0-)9.4-12.7(-15.0) µm","Sculptolumina conradiae_520175","ascospores","(19.0-)21.0-27.2(-29.0) x (8.0-)9.4-12.7(-15.0)","21.0-27.2","9.4-12.7",NA,24.1,11.05
"Ascospores brown to dark brown, unicellular, ellipsoid-inequilateral, 12.5-15 x 5-7.5 µm,","Xylaria hongkongensis_520187","Ascospores","12.5-15 x 5-7.5","12.5-15","5-7.5",NA,13.75,6.25
"Ascospores colourless, 1-septate, overlapping-uniseriate to irregularly biseriate in the asci, ellipsoid, usually slightly constricted at the septum, uniformly thin-walled, lacking a distinct perispore, (9-) 12 (-15) x (5.5-) 7 (-8) µm","Placynthium australiense_520192","Ascospores","(9-) 12 (-15) x (5.5-) 7 (-8)","12","7",NA,12,7
"Ascospores very large, with very conspicuous gelatinous envelope, especially around the point where they attach to the host surface. 
Length from foot to apex of perithecium (194-)213-236(-249) µm.","Diplopodomyces veneris_520198","Ascospores","(194-)213-236(-249)","213-236",NA,NA,224.5,224.5
"ascospores per ascus. Type: China. Yunnan province, Lushui County, on the roadside between Fugong and Lushui Counties, 68 km north of Lushui county, alt. 2950 m, on dead twigs, 7 Jun. 1981, X.Y. Wang, X. Xiao & J.J. Su 2718 (holotype, HMAS-L).
Thallus gray, moderately thick, epiphloedal, without a definite margin; upper surface initially tuberculate, later heavily rugose-plicate, generally matt, fissured. Soredia and isidia absent. Fertile verrucae lecanorate, concolorous with thallus, numerous, well dispersed or occasionally crowded and rarely fused, 1-1.5 mm in diam.. Discs red, level or usually deeply sunken (in older verrucae), white-pruinose, the verrucal margins thick, initially entire and later ruptured forming a false secondary edge to the verrucae. Apothecia 1 per verruca, the fruit centre hyaline. Epithecium red-brown, K-. Ascospores 8 per ascus, ellipsoid, often uniseriate, occasionally irregular, 13-20 x 5-8 µm.","Pertusaria wangii_520222","ascospores","13-20 x 5-8","13-20","5-8",NA,16.5,6.5
"Ascospores 8 per ascus, ellipsoid, often uniseriate, occasionally irregular, 13-20 x 5-8 µm.","Pertusaria wangii_520222","Ascospores","13-20 x 5-8","13-20","5-8",NA,16.5,6.5
"ascospores and 3-5 apothecia per verruca. Type: China. Yunnan province, Gongshan County, Qiqi Nature Reserve, alt. 1900 m, on tree trunk, 19 Jul. 1982, M. Zang Herb. No. 1452 (holotype, KUN).
Thallus gray, moderately thick, epiphloedal, the margin +- entire; upper surface smooth to tuberculate, or rugose-plicate (in older parts), generally matt, fissured. Soredia and isidia absent. Fertile verrucae concolorous with thallus, numerous, well dispersed or occasionally crowded, (0.8-)1-1.5 (-2) mm in diam.. Discs brown to black, 0.2-0.5 mm in diam., level, whitepruinose. Apothecia mostly 3-5 per verruca, lecanorate, the fruit centre hyaline. Epithecium red-brown, K-. Ascospores 1 per ascus, cylindric, 120-140 x 35-58 µm.","Pertusaria hengduanensis_520223","ascospores","120-140 x 35-58","120-140","35-58",NA,130,46.5
"Ascospores 1 per ascus, cylindric, 120-140 x 35-58 µm.","Pertusaria hengduanensis_520223","Ascospores","120-140 x 35-58","120-140","35-58",NA,130,46.5
"Ascospores 1 per ascus, cylindric, 130-230 x 45-85 µm.","Pertusaria lijiangensis_520225","Ascospores","130-230 x 45-85","130-230","45-85",NA,180,65
"Ascospores hyaline, fusiform, smooth, 1-septate, constricted at the septa, gutulate, 9-13(-15) x 2-4 µm.","Anteaglonium brasiliense_520246","Ascospores","9-13(-15) x 2-4","9-13","2-4",NA,11,3
"Ascospores pigmented, smooth, broadly ellipsoidal, narrowing at the ends, straight to lightly flexuous, some surrounded by a gelatinous sheath, strongly constricted at the median septa, transversally 7(-8)-septate, with 1-3 longitudinal septa in central cells,  31-40 x 10-15 µm.","Graphyllium caracolinense_520248","Ascospores"," 31-40 x 10-15","31-40","10-15",NA,35.5,12.5
"Ascospores pale brown, fusiform, smooth, disarticulating into 16 part-spores; part-spores ovoid or obovoid, 1-septate, 5-7.5 x 2.5-4 µm.","Hysterodifractum partisporum_520253","Ascospores","5-7.5 x 2.5-4","5-7.5","2.5-4",NA,6.25,3.25
"Ascospores colourless to pale yellow, narrowly to broadly ellipsoid, muriform, (20--) 22--28 (--30) x (9--) 10--13 (--15) µm.","Willeya fusca_520312","Ascospores","(20 - ) 22 - 28 ( - 30) x (9 - ) 10 - 13 ( - 15)","22-28","10-13",NA,25,11.5
"Ascospores colourless to pale, narrowly to broadly ellipsoid, muriform, (20--) 25--29 (--31) x 11--15 µm.","Willeya laevigata_520316","Ascospores","(20 - ) 25 - 29 ( - 31) x 11 - 15","25-29","11-15",NA,27,13
"Ascospores colorless to pale, narrowly to broadly ellipsoid, muriform, (20--) 22--30 (--32) x (9--) 10--14 (--15) µm.","Willeya protrudens_520321","Ascospores","(20 - ) 22 - 30 ( - 32) x (9 - ) 10 - 14 ( - 15)","22-30","10-14",NA,26,12
"Ascospores 8 per ascus, broadly ellipsoid to subglobose, muriform with 1-3 transverse and 1-2 longitudinal septa per segment, 10-12(-15) x 9-10 µm,","Fissurina baishanzuensis_520354","Ascospores","10-12(-15) x 9-10","10-12","9-10",NA,11,9.5
"Ascospores 4-8 per ascus, ellipsoid, muriform with 5-7 transverse and 1-3 longitudinal septa per segment, 20-30 x 10-12 µm,","Fissurina subundulata_520355","Ascospores","20-30 x 10-12","20-30","10-12",NA,25,11
"Ascospores 8 per ascus, oblong, 7-9-septate, 25-35 x 7-8 µm,","Graphis jinhuana_520356","Ascospores","25-35 x 7-8","25-35","7-8",NA,30,7.5
"Ascospores 8 per ascus, oblong, 7-9-septate, 25-35 x 7-8 µm,","Graphis pananensis_520357","Ascospores","25-35 x 7-8","25-35","7-8",NA,30,7.5
"Ascospores hyaline, muriform, 6-13 transverse septa x 2-4 longitudinal septa, 17-25 x 10-14 µm,","Fissurina niveoalba_520358","Ascospores","17-25 x 10-14","17-25","10-14",NA,21,12
"Ascospores hyaline, muriform, 10-18 transverse septa x 4-8 longitudinal septa, 40-65 x 15-25 µm,","Fissurina phuluangii_520359","Ascospores","40-65 x 15-25","40-65","15-25",NA,52.5,20
"Ascospores hyaline, transversely septate, 20-26 septa, 85-170 x 18-30 µm,","Graphis subdussii_520360","Ascospores","85-170 x 18-30","85-170","18-30",NA,127.5,24
"Ascospores hyaline, densely muriform, 25-40 transverse septa x 3-10 longitudinal septa, 80-150 x 25-40 µm,","Graphis subinsulana_520361","Ascospores","80-150 x 25-40","80-150","25-40",NA,115,32.5
"Ascospores brown, transversely septate, 6-9-septate, 25-40 x 7-9 µm,","Leiorreuma hypomelaenoides_520362","Ascospores","25-40 x 7-9","25-40","7-9",NA,32.5,8
"Ascospores pale brown, muriform, 9-14 transverse septa x 2-5 longitudinal septa, ellipsoid, 55-95 x 13-25 µm,","Phaeographis caesiodiscoides_520363","Ascospores","55-95 x 13-25","55-95","13-25",NA,75,19
"Ascospores brown, transversely septate, 8-11-septate, oblong, 25-35 x 7-9 µm,","Phaeographis loeiensis_520364","Ascospores","25-35 x 7-9","25-35","7-9",NA,30,8
"Ascospores brown, transversely septate, 3-5-septate, 10-20 x 6-8 µm,","Phaeographis neotricosoides_520365","Ascospores","10-20 x 6-8","10-20","6-8",NA,15,7
"Ascospores dark brown, transversely septate, 5-7-septate, oblong, 20-30 x 8-12 µm,","Phaeographis phurueaensis_520366","Ascospores","20-30 x 8-12","20-30","8-12",NA,25,10
"Ascospores pale brown, submuriform, 5-8 transverse septa, 0-1 longitudinal septa, ellipsoid, 25-35 x 8-11 µm,","Phaeographis schizolomoides_520367","Ascospores","25-35 x 8-11","25-35","8-11",NA,30,9.5
"Ascospores pale brown, transversely septate, 3-septate, 13-17 x 5-7 µm,","Phaeographis siamensis_520368","Ascospores","13-17 x 5-7","13-17","5-7",NA,15,6
"Ascospores pale brown, submuriform, 5-7 transverse septa, 2-3 longitudinal septa, 25-45 x 10-15 µm,","Platygramme subarechavaletae_520369","Ascospores","25-45 x 10-15","25-45","10-15",NA,35,12.5
"Ascospores 10-18 µm","Aurantioporthe corni_520371","Ascospores","10-18","10-18",NA,NA,14,14
"Ascospores about 4 (2-8)/ascus, muriform, ca. 45-60 x 20-30 µm,","Acanthothecis adjuncta_520442","Ascospores",". 45-60 x 20-30","45-60","20-30",NA,52.5,25
"ascospores (10)12-16 x (8)9-12 µm;","Hypogymnia pendula_520443","ascospores","(10)12-16 x (8)9-12","12-16","9-12",NA,14,10.5
"ascospores 10.8-11.8 x 4.1-5.4 µm,","Hypogymnia tenuispora_520445","ascospores","10.8-11.8 x 4.1-5.4","10.8-11.8","4.1-5.4",NA,11.3,4.75
"Ascospores 8/ascus, ca. 20-septate, ca. 40 x 7 µm,","Chapsa francisci_520446","Ascospores",". 40 x 7","40","7",NA,40,7
"Ascospores 4(-8)/ascus, muriform (ca. 20 x 4 locules), ca. 60 x 15 µm,","Chapsa nubila_520447","Ascospores",". 60 x 15","60","15",NA,60,15
"Ascospores 8/ascus, bacillar, 18-20 x 5-6 µm,","Diorygma extensum_520448","Ascospores","18-20 x 5-6","18-20","5-6",NA,19,5.5
"Ascospores 1-4/ascus, muriform, 75-80 x 20-35 µm,","Fissurina chapsoides_520449","Ascospores","75-80 x 20-35","75-80","20-35",NA,77.5,27.5
"Ascospores 1-2/ascus, muriform, 70-140 x 25-35 µm,","Fissurina gigas_520450","Ascospores","70-140 x 25-35","70-140","25-35",NA,105,30
"Ascospores 8/ascus, 3-septate, ca. 11 x 5 µm,","Fissurina vorax_520451","Ascospores",". 11 x 5","11","5",NA,11,5
"Ascospores about 1-4/ascus, muriform, ca. 70-100 x 20-35 µm,","Graphis murali-elegans_520452","Ascospores",". 70-100 x 20-35","70-100","20-35",NA,85,27.5
"Ascospores 1/ascus, muriform, 130-200 x 40-45 µm,","Graphis nigroglobosa_520453","Ascospores","130-200 x 40-45","130-200","40-45",NA,165,42.5
"Ascospores 8/ascus, 5-septate, ca. 24-26 x 7 µm,","Melanotrema comosum_520454","Ascospores",". 24-26 x 7","24-26","7",NA,25,7
"Ascospores 1/ascus, muriform, ca. 220-230 x 40-45 µm,","Ocellularia pitalensis_520455","Ascospores",". 220-230 x 40-45","220-230","40-45",NA,225,42.5
"Ascospores 8/ascus, 1-septate, ca. 10x 7 µm,","Ocellularia rugosa_520456","Ascospores",". 10x 7","10","7",NA,10,7
"Ascospores 8/ascus, muriform, ca. 22 x 8 µm,","Thelotrema berendsohnii_520457","Ascospores",". 22 x 8","22","8",NA,22,8
"Ascospores 8/ascus, 3-5-septate, ca. 16 x 6 µm,","Thelotrema kinabaluense_520458","Ascospores",". 16 x 6","16","6",NA,16,6
"Ascospores 8/ascus, 11-13-septate, ca. 30 x 7 µm,","Thelotrema paludosum_520459","Ascospores",". 30 x 7","30","7",NA,30,7
"Ascospores 8/ascus, submuriform, 3(-6) x 0-1-septate, ca. 13 x 7 µm,","Thelotrema parvisporum_520460","Ascospores",". 13 x 7","13","7",NA,13,7
"Ascospores ellipsoid, brown, muriform, with 3-5 transverse and 1-2 longitudinal septa, 24-33(-39) x 12-18 µm.","Diploschistes xinjiangensis_520505","Ascospores","24-33(-39) x 12-18","24-33","12-18",NA,28.5,15
"Ascospores 8/ascus, transversely 9-11-septate, ca. 40-50 x 10 µm,","Myriochapsa annulata_520557","Ascospores",". 40-50 x 10","40-50","10",NA,45,10
"Ascospores ca. 5(-8)/ascus, 7-septate, ca. 16 x 8 µm,","Myriochapsa chocoensis_520558","Ascospores",". 16 x 8","16","8",NA,16,8
"ascospores acicular, 5-septate, 30-50 x 1.0-1.5 µm;","Bacidina dichroma_520569","ascospores","30-50 x 1.0-1.5","30-50","1.0-1.5",NA,40,1.25
"ascospores acicular, 0-3-septate, 25-35 x 1.0-1.5 µm;","Bacidina fuscosquamulosa_520570","ascospores","25-35 x 1.0-1.5","25-35","1.0-1.5",NA,30,1.25
"ascospores with (1-)3-8(-9)-transverse septa, 15-27 x 2.5-3 µm,","Fellhanera guatemalensis_520571","ascospores","15-27 x 2.5-3","15-27","2.5-3",NA,21,2.75
"ascospores of 35-65 x 11-18 µm.","Graphis barillae_520572","ascospores","35-65 x 11-18","35-65","11-18",NA,50,14.5
"ascospores of (55-)65-85 x 10-12 µm.","Graphis bernadetae_520573","ascospores","(55-)65-85 x 10-12","65-85","10-12",NA,75,11
"ascospores of 60-110 x 15-32 µm.","Graphis submirabilis_520574","ascospores","60-110 x 15-32","60-110","15-32",NA,85,23.5
"Ascospores 1 per ascus, ellipsoid to oblong, richly muriform, 60-100 <U+F0B4> 20-30 µm,","Diorygma roseopruinatum_520576","Ascospores","60-100 x 20-30","60-100","20-30",NA,80,25
"Ascospores 8 per ascus, uniseriate, fusiform, 1-septate, 9-12 <U+F0B4> 4.5-5.5 µm,","Fissurina aurantiacolirellata_520577","Ascospores","9-12 x 4.5-5.5","9-12","4.5-5.5",NA,10.5,5
"Ascospores 8 per ascus, uniseriate to irregularly arranged, fusiform, 3-septate, 15-18 <U+F0B4> 7-8 µm,","Fissurina fuscoalba_520578","Ascospores","15-18 x 7-8","15-18","7-8",NA,16.5,7.5
"Ascospores 8 per ascus, uniseriate to irregularly arranged, fusiform, 3-septate, 20-25 <U+F0B4> 10-12 µm,","Fissurina stegoboloides_520579","Ascospores","20-25 x 10-12","20-25","10-12",NA,22.5,11
"Ascospores 8 per ascus, irregularly arranged, oblong-oval, submuriform with 7-11 transverse and 0-1 longitudinal septa per segment, 25-45 <U+F0B4> 8-10 µm,","Graphis subelongata_520581","Ascospores","25-45 x 8-10","25-45","8-10",NA,35,9
"Ascospores 8 per ascus, irregularly arranged, ellipsoid, submuriform with 3-5 transverse and 0-2 longitudinal septa per segment, 15-18 <U+F0B4> 8-10 µm,","Graphis leptotremoides_520582","Ascospores","15-18 x 8-10","15-18","8-10",NA,16.5,9
"Ascospores 4-8 per ascus, uniseriate to irregularly arranged, ellipsoid to almost fusiform, submuriform with 3-5 transverse and 0-2 longitudinal septa per segment, 15-25 <U+F0B4> 9-13 µm,","Leucodecton pseudostromaticum_520583","Ascospores","15-25 x 9-13","15-25","9-13",NA,20,11
"Ascospores 2-4 per ascus, irregularly arranged, fusiform, 19-25-septate, 100-150 <U+F0B4> 15-20 µm,","Ocellularia albocolumellata_520584","Ascospores","100-150 x 15-20","100-150","15-20",NA,125,17.5
"Ascospores 8 per ascus, uniseriate to irregularly arranged, oblong, 5-7-septate, 20-25 <U+F0B4> 6-7 µm,","Ocellularia albothallina_520585","Ascospores","20-25 x 6-7","20-25","6-7",NA,22.5,6.5
"Ascospores 1-2 per ascus, uniseriate to irregularly arranged, fusiform, 15-19-septate, 200-250 <U+F0B4> 30-40 µm,","Ocellularia fuscosporella_520586","Ascospores","200-250 x 30-40","200-250","30-40",NA,225,35
"Ascospores 8 per ascus, uniseriate to irregularly arranged, oblong-ellipsoid, 3-5-septate, 15-20 <U+F0B4> 7-10 µm,","Ocellularia inconspicua_520587","Ascospores","15-20 x 7-10","15-20","7-10",NA,17.5,8.5
"Ascospores 8 per ascus, uniseriate to irregularly arranged, oblong, 5-septate, 15-20 <U+F0B4> 5-6 µm,","Ocellularia neocaledonica_520588","Ascospores","15-20 x 5-6","15-20","5-6",NA,17.5,5.5
"Ascospores 8 per ascus, uniseriate, broadly ellipsoid, muriform with irregularly arranged lumina, 20-25 <U+F0B4> 12-15 µm,","Ocellularia pulchella_520589","Ascospores","20-25 x 12-15","20-25","12-15",NA,22.5,13.5
"Ascospores 8 per ascus, uniseriate to irregularly arranged, oblong-ellipsoid, 5-septate, 15-20 <U+F0B4> 5-6 µm,","Ocellularia rugosothallina_520590","Ascospores","15-20 x 5-6","15-20","5-6",NA,17.5,5.5
"Ascospores 1(-2) per ascus, fusiform, 17-25-septate, 200-250 <U+F0B4> 25-35 µm,","Ocellularia salmonea_520591","Ascospores","200-250 x 25-35","200-250","25-35",NA,225,30
"Ascospores 8 per ascus, uniseriate to irregularly arranged, oblong, 5-septate, 15-20 <U+F0B4> 5-6 µm,","Rhabdodiscus farinosus_520592","Ascospores","15-20 x 5-6","15-20","5-6",NA,17.5,5.5
